time_sec,lap_var_s0.3,rms_contrast_s0.3,lap_var_s0.6,rms_contrast_s0.6,lap_var_s0.9,rms_contrast_s0.9
0.0,647.2989,0.69288945,963.8294,0.7017319,1321.6986,0.710469
0.016666668,640.30585,0.69124365,938.8815,0.6995928,1285.3862,0.70800906
0.033333335,594.38556,0.6891206,835.8043,0.6965474,1113.5848,0.70388263
0.05,560.1393,0.687163,753.708,0.69275546,978.10095,0.69866836
0.06666667,528.7298,0.6856587,679.4685,0.69024134,848.91266,0.69482577
0.083333336,477.38577,0.68252826,584.128,0.6853348,699.40955,0.68836117
0.1,441.62885,0.68122727,506.71555,0.6831536,575.0008,0.68518466
0.11666667,411.50952,0.6796179,458.07172,0.6808636,504.74033,0.68212783
0.13333334,388.69528,0.67793614,407.97202,0.67830634,428.79977,0.6788617
0.15,379.6475,0.67640305,391.24606,0.67663103,399.77298,0.6769049
0.16666667,368.1504,0.6738985,370.2018,0.67390734,376.04114,0.67399627
0.18333334,366.8784,0.67236406,368.6813,0.67238015,369.94824,0.6723577
0.2,358.15405,0.67089355,359.65295,0.67094517,361.08563,0.67089236
0.21666667,352.01868,0.6683786,352.76425,0.66838974,353.9498,0.668317
0.23333333,349.67215,0.66773206,349.85492,0.6677456,351.5154,0.66772616
0.25,345.5835,0.6666862,345.93542,0.6666987,346.46075,0.66669786
0.26666668,343.045,0.664935,343.44666,0.6649113,344.13086,0.66492146
0.28333333,342.13382,0.66377294,342.78842,0.6637452,343.4425,0.66376495
0.3,334.88763,0.6631184,336.2993,0.663146,336.06644,0.66312575
0.31666666,332.46487,0.661607,333.8656,0.66168314,333.0729,0.66167295
0.33333334,331.7312,0.66140366,332.63733,0.66142076,332.48422,0.6614379
0.35,326.9037,0.66111916,327.08182,0.66111654,327.01657,0.6611174
0.36666667,323.44818,0.6598935,323.6368,0.6599244,323.6959,0.6599042
0.38333333,323.54092,0.6592005,323.1983,0.65919226,323.76746,0.65921336
0.4,318.22324,0.65853745,318.61343,0.65857625,318.74182,0.65858686
0.41666666,317.2809,0.65775174,317.95218,0.6577691,316.9976,0.65777904
0.43333334,318.14597,0.6572294,318.58896,0.6572401,318.01987,0.65727645
0.45,315.01886,0.65674603,315.526,0.65676,316.4874,0.6567514
0.46666667,309.8866,0.655259,309.68735,0.65525144,310.64056,0.6552657
0.48333332,308.8095,0.6547859,308.8829,0.6547716,309.4724,0.6548025
0.5,304.88693,0.6538019,305.77603,0.6537629,305.32053,0.65377295
0.51666665,303.33307,0.6537627,304.24725,0.65377146,303.6509,0.65375835
0.53333336,305.4506,0.6536497,306.5867,0.65361637,305.4864,0.6536081
0.55,304.1844,0.65283364,304.936,0.652816,304.50095,0.6528152
0.56666666,302.4789,0.65209067,303.40863,0.6520826,302.54013,0.6521376
0.5833333,303.6427,0.6516764,303.5811,0.65167975,303.4772,0.65170294
0.6,299.04254,0.65025705,299.69348,0.65030086,299.68088,0.65033835
0.6166667,300.63666,0.65024626,301.29276,0.6502235,302.09027,0.65026087
0.6333333,299.96854,0.6501899,300.2132,0.65020716,301.21603,0.65020096
0.65,298.5455,0.6491881,299.0511,0.6491483,298.65884,0.6491424
0.6666667,300.51645,0.64933234,301.6926,0.64933944,300.99026,0.64931554
0.68333334,296.06177,0.6496393,297.46475,0.64968985,296.8663,0.6496639
0.7,297.20636,0.6481731,298.91626,0.6481638,297.72858,0.6481332
0.71666664,297.828,0.6482503,298.765,0.6482531,298.00003,0.64822763
0.73333335,295.49344,0.6478446,296.5969,0.64784896,296.41458,0.64781654
0.75,295.82205,0.6467093,296.2173,0.6466833,296.09564,0.6466422
0.76666665,295.88113,0.64722884,296.4787,0.6472261,296.50525,0.64720803
0.78333336,292.3523,0.64687866,293.26556,0.64687896,292.31686,0.64687544
0.8,293.87802,0.6462718,295.56805,0.64631253,293.97736,0.6462938
0.81666666,295.13538,0.6466273,296.34595,0.6466462,295.63788,0.646614
0.8333333,295.18228,0.6460278,298.50818,0.6460932,300.7261,0.64611626
0.85,297.09567,0.64665425,304.83588,0.64681476,309.59015,0.64699495
0.8666667,304.36923,0.647125,321.50925,0.64754534,336.8637,0.6481397
0.8833333,318.13696,0.64595705,346.40292,0.6467777,376.9691,0.6476073
0.9,331.10205,0.64605784,376.61578,0.64756614,426.5874,0.6491182
0.9166667,354.35626,0.6457356,433.09976,0.64825475,507.01926,0.6507427
0.93333334,388.17377,0.6454454,500.62332,0.64869916,620.358,0.65222937
0.95,416.0017,0.64571494,571.2867,0.6506346,745.8674,0.6555186
0.96666664,447.48822,0.6452658,635.8053,0.6512149,860.26044,0.65728354
0.98333335,468.29797,0.64513177,688.4269,0.65177643,957.7974,0.65885097
1.0,477.99472,0.64540017,712.1412,0.65237594,990.9727,0.6597344
1.0166667,462.94363,0.64441556,685.9581,0.6510956,956.5536,0.6583059
1.0333333,441.2882,0.6429119,632.74304,0.6485402,853.2036,0.65462023
1.05,424.63464,0.6428032,582.9769,0.6475859,761.92365,0.65259975
1.0666667,398.8705,0.6421531,518.70557,0.64556086,650.27875,0.6492247
1.0833334,358.51974,0.64080685,440.9971,0.64281726,531.1801,0.6452949
1.1,341.17435,0.64128166,391.04764,0.642739,441.8886,0.6441919
1.1166667,320.75406,0.64068514,350.65155,0.64151716,381.93906,0.64240605
1.1333333,304.56778,0.63983005,318.30164,0.64001155,335.00067,0.6404974
1.15,300.95593,0.64007545,312.02298,0.640256,319.74103,0.6404395
1.1666666,297.15317,0.6396578,301.1322,0.63972014,306.20407,0.6398412
1.1833333,294.73727,0.63806385,295.27954,0.6381249,297.99634,0.63814795
1.2,294.34775,0.637965,294.6856,0.63795704,295.99628,0.6379894
1.2166667,291.59232,0.63690776,290.94073,0.63689315,292.07877,0.6369269
1.2333333,287.10345,0.6348029,287.2368,0.6348479,287.3647,0.6347965
1.25,287.58228,0.6344107,287.79703,0.6344603,288.65118,0.6344442
1.2666667,286.11243,0.63407177,286.67148,0.6340941,287.23816,0.6340783
1.2833333,286.04382,0.6330835,286.0944,0.6331755,286.31638,0.63312036
1.3,287.9403,0.6327804,287.7897,0.63286394,286.83914,0.6328234
1.3166667,285.16693,0.6319524,285.18674,0.6319813,284.66876,0.6319209
1.3333334,285.35736,0.6310061,285.71704,0.6310624,285.62967,0.63101804
1.35,287.3773,0.63098,288.1428,0.6310248,288.0605,0.6309922
1.3666667,287.9423,0.63082373,288.56354,0.6308448,288.48343,0.63081765
1.3833333,287.792,0.6305973,288.01447,0.6305872,287.8843,0.6306011
1.4,289.56677,0.6308429,290.44257,0.63086045,289.79776,0.63086885
1.4166666,289.01147,0.6305881,289.48093,0.63057756,288.654,0.6305563
1.4333333,291.72882,0.63081336,291.37048,0.6308295,291.5081,0.6308623
1.45,291.40225,0.63001055,290.92868,0.6300239,290.7855,0.6300147
1.4666667,291.09772,0.62943983,290.92798,0.6294427,290.67917,0.62944514
1.4833333,287.9132,0.62850183,288.32007,0.6284801,287.58817,0.62851703
1.5,288.27145,0.6291624,289.06964,0.6291338,288.93677,0.6291449
1.5166667,288.13525,0.6287924,289.97357,0.6287831,289.73672,0.6287637
1.5333333,291.04834,0.6284303,292.1812,0.62847,292.4926,0.6284444
1.55,290.69873,0.6278408,290.81375,0.6278553,291.30212,0.6278276
1.5666667,294.1254,0.62776065,294.2784,0.6277422,294.16916,0.627726
1.5833334,293.23926,0.62671334,293.2834,0.62661433,292.9808,0.62666684
1.6,294.8443,0.62649107,295.07108,0.6264743,294.324,0.62645304
1.6166667,294.90656,0.6263327,294.02225,0.62633836,294.51715,0.6263339
1.6333333,295.20306,0.6258361,294.68674,0.6257661,295.34875,0.6257732
1.65,296.2613,0.6263546,295.66687,0.6263359,296.4649,0.62633926
1.6666666,296.4843,0.6260778,296.4383,0.62606734,296.41187,0.62606645
1.6833333,297.39142,0.6251312,297.56778,0.62509257,297.8974,0.6250739
1.7,298.34988,0.62517446,298.2992,0.6251712,298.4388,0.6251762
1.7166667,299.6295,0.6241411,298.98965,0.6241434,299.50595,0.62417436
1.7333333,301.16742,0.6243166,300.84793,0.6243181,300.81076,0.62430644
1.75,299.67593,0.6238137,300.7435,0.623822,300.7999,0.6238305
1.7666667,297.81302,0.6224546,298.9298,0.62247074,298.8211,0.62242675
1.7833333,299.41736,0.622666,300.92416,0.6226535,300.7386,0.6226606
1.8,297.5495,0.6223426,299.68634,0.62229806,300.34164,0.62231076
1.8166667,300.3696,0.62142336,301.639,0.62138575,304.03726,0.62148744
1.8333334,299.85016,0.62167174,302.20334,0.6217076,306.53342,0.62171453
1.85,300.93457,0.62168676,309.7458,0.6218523,313.50467,0.62202275
1.8666667,310.11432,0.6212394,326.82727,0.6217029,341.6699,0.6221592
1.8833333,319.23428,0.6215621,343.87607,0.6223687,372.85388,0.62314546
1.9,339.59082,0.62111276,383.89954,0.6224821,435.4165,0.6240113
1.9166666,366.35437,0.6204592,441.88068,0.6225139,528.6918,0.62474513
1.9333333,393.1218,0.6206482,506.81744,0.62416446,636.8605,0.6277102
1.95,418.4308,0.6209164,585.05817,0.6257787,763.4264,0.63054085
1.9666667,464.0697,0.6211346,656.0898,0.62631345,885.9191,0.63225716
1.9833333,481.24857,0.6214704,712.72327,0.62776625,984.9123,0.6346292
2.0,482.28992,0.6205096,715.0779,0.6268297,996.1024,0.63379747
2.0166667,484.6842,0.6203753,718.1038,0.6266594,1000.264,0.63349235
2.0333333,456.15466,0.61954856,646.98474,0.6247991,927.4064,0.6312477
2.05,423.4075,0.61789,579.88116,0.62198776,778.2301,0.6270193
2.0666666,402.89584,0.61794,522.1184,0.6211875,659.3147,0.62469846
2.0833333,374.0828,0.61700094,456.65616,0.6192975,547.203,0.6216233
2.1,341.04434,0.616313,393.1228,0.6177766,451.71356,0.6191018
2.1166666,329.64902,0.61629635,359.66306,0.61702734,391.33218,0.6178615
2.1333334,319.9751,0.61575526,334.6662,0.6161601,353.6022,0.61658806
2.15,306.5894,0.6154859,312.60638,0.6156414,319.7692,0.61571515
2.1666667,306.44763,0.6152767,308.814,0.6153085,313.08865,0.6153265
2.1833334,302.14972,0.6137353,303.21,0.61373276,304.5168,0.6137381
2.2,299.77426,0.6133216,299.9812,0.61336803,300.62946,0.6133217
2.2166667,298.7748,0.6122445,299.29996,0.6122739,299.31183,0.61225337
2.2333333,296.35794,0.6111491,296.11908,0.61116177,295.84775,0.6111513
2.25,292.64438,0.6103554,292.34985,0.61039275,292.30725,0.6103736
2.2666667,294.168,0.610204,294.14346,0.6101941,294.29562,0.6101918
2.2833333,292.20493,0.60899395,292.07904,0.6089922,292.52423,0.6090033
2.3,288.94104,0.6086046,289.02524,0.60858256,289.74417,0.60863775
2.3166666,288.50247,0.6077666,288.65637,0.60773957,289.0504,0.60774845
2.3333333,285.94672,0.6066822,286.737,0.6066762,286.42905,0.6066927
2.35,284.16318,0.60586894,284.4639,0.6057874,284.453,0.6058084
2.3666666,283.42816,0.6055238,283.477,0.6054803,283.5719,0.605477
2.3833334,282.30286,0.60552233,283.00363,0.6054978,282.8491,0.60549176
2.4,280.6109,0.60457844,281.2017,0.60463506,281.13632,0.6045704
2.4166667,282.08975,0.60508657,282.66672,0.60509914,282.7795,0.60510767
2.4333334,280.707,0.60452616,279.6203,0.6045395,280.71524,0.604545
2.45,282.2119,0.603749,281.41083,0.6037704,282.56985,0.60376096
2.4666667,281.5406,0.6030972,281.87723,0.6030962,281.25446,0.60309005
2.4833333,279.71722,0.6019504,280.56992,0.6019701,279.90228,0.60198027
2.5,279.8854,0.60082227,279.59784,0.6008229,279.88702,0.60081625
2.5166667,278.28537,0.6009566,279.55075,0.60095775,277.7721,0.60093075
2.5333333,279.86026,0.6005904,280.5624,0.6006038,280.37204,0.6006115
2.55,277.7464,0.6000558,278.18408,0.60010314,278.2761,0.6000911
2.5666666,279.9449,0.5997089,280.1662,0.599671,280.52292,0.59969455
2.5833333,277.61688,0.5987822,277.65115,0.5987849,278.83246,0.5987686
2.6,280.5898,0.59882075,280.57806,0.5988164,281.4093,0.5987853
2.6166666,281.39676,0.5978914,281.62054,0.5978552,281.21594,0.5978541
2.6333334,284.68762,0.598545,284.7607,0.59853554,284.50488,0.59854174
2.65,283.46347,0.59885275,283.2967,0.59884375,283.8087,0.59885526
2.6666667,282.78687,0.5982364,282.722,0.598242,282.79346,0.5982671
2.6833334,283.56442,0.59853435,283.27167,0.59854114,284.01624,0.59856886
2.7,283.6277,0.5980597,283.67953,0.5980768,284.0824,0.5980808
2.7166667,284.8287,0.59746295,284.16687,0.59744865,285.10797,0.5974654
2.7333333,285.25412,0.5974775,284.66837,0.59746844,285.74704,0.5974472
2.75,285.03394,0.5972998,284.35623,0.59730774,286.0571,0.5973182
2.7666667,286.02225,0.596148,286.546,0.5961595,286.31778,0.59619296
2.7833333,287.58716,0.5964626,287.8955,0.5964951,288.2314,0.5964721
2.8,285.95755,0.5964104,286.4421,0.5964653,287.38428,0.5964338
2.8166666,288.12903,0.5956553,289.46964,0.59567714,290.04608,0.595746
2.8333333,289.4797,0.59553725,290.5095,0.59553397,292.4854,0.5955972
2.85,290.54022,0.59581774,297.04468,0.59586287,302.32498,0.59610575
2.8666666,299.6161,0.5954969,314.4464,0.59588534,328.77106,0.59627485
2.8833334,307.10666,0.5955962,331.2077,0.5963182,358.70557,0.59716594
2.9,326.0527,0.59525794,366.54077,0.5965196,415.15884,0.59788793
2.9166667,352.2914,0.59462535,423.77914,0.5964867,504.70932,0.5986391
2.9333334,377.77817,0.5950002,487.47678,0.5981892,610.44574,0.6014105
2.95,409.58408,0.5952089,557.8225,0.5995213,733.8756,0.6039751
2.9666667,441.4747,0.5951111,628.58655,0.60020745,849.7038,0.60571814
2.9833333,460.76385,0.59547824,686.4587,0.6015659,954.9776,0.60810244
3.0,463.04666,0.59479433,687.9461,0.6010186,958.92084,0.6077245
3.0166667,460.87466,0.59427446,685.9218,0.60033005,953.6953,0.60696274
3.0333333,437.39856,0.5933177,621.7727,0.59840107,839.0549,0.6038574
3.05,416.9464,0.5929676,568.21484,0.59722763,741.92163,0.6017581
3.0666666,389.38663,0.5919543,503.01178,0.5951189,635.52954,0.5983937
3.0833333,348.84412,0.59092945,429.37094,0.59292305,514.0022,0.59503186
3.1,329.04153,0.5913318,377.08585,0.59265697,425.97336,0.59403765
3.1166666,311.07202,0.5908748,340.90088,0.59159154,370.18738,0.5923492
3.1333334,295.33908,0.59054,310.8231,0.5907727,324.96542,0.5911819
3.15,290.79987,0.5908862,302.10602,0.59098256,309.20828,0.59116817
3.1666667,287.37433,0.5905766,292.35532,0.59061027,295.05383,0.5906287
3.1833334,286.4971,0.5896162,288.19666,0.589594,290.01556,0.589611
3.2,286.61127,0.5891226,288.13132,0.58912504,289.43094,0.5891387
3.2166667,281.95624,0.58831745,282.87662,0.588327,284.21765,0.5883193
3.2333333,276.52127,0.5873301,277.2973,0.5873718,277.8518,0.5873059
3.25,275.5945,0.5864878,276.7263,0.5865032,276.84097,0.58646613
3.2666667,273.4784,0.5859308,274.67825,0.5859425,274.55673,0.58591396
3.2833333,271.79797,0.5852927,272.1453,0.58527017,272.56155,0.58525586
3.3,270.58786,0.5854804,270.8696,0.5854906,271.665,0.5854765
3.3166666,268.0259,0.58435893,267.6638,0.5843809,268.51743,0.584385
3.3333333,268.83762,0.5839396,268.73706,0.5839163,269.25635,0.58394194
3.35,267.05634,0.58361876,267.15894,0.5836311,267.3855,0.5836342
3.3666666,263.67615,0.5829707,264.02155,0.58295906,263.42926,0.58297044
3.3833334,265.00073,0.5825551,265.266,0.58254594,265.47018,0.58254313
3.4,263.07605,0.58187014,263.65335,0.58187866,263.58173,0.58189344
3.4166667,259.73752,0.5821535,259.81625,0.5821065,260.29315,0.5821711
3.4333334,258.90808,0.5820667,259.26883,0.5820635,259.57837,0.5820666
3.45,258.21704,0.58158857,258.40198,0.58159643,257.83896,0.581578
3.4666667,258.10703,0.5808334,258.661,0.580858,258.54062,0.58082837
3.4833333,255.05432,0.58001333,254.74867,0.5800282,255.10977,0.5800209
3.5,254.66273,0.57991445,253.4656,0.5799175,254.11684,0.57993484
3.5166667,252.82042,0.579806,252.51527,0.5798148,252.43443,0.57981354
3.5333333,251.7091,0.57955635,250.77467,0.5795833,251.15657,0.5795571
3.55,252.41933,0.5793959,251.08345,0.579429,252.8136,0.579417
3.5666666,250.72798,0.57852,249.90712,0.5785232,251.02437,0.5784828
3.5833333,252.31071,0.57861125,251.40796,0.5786377,252.54819,0.5785914
3.6,252.95619,0.5785292,252.18092,0.57855904,252.42216,0.5785185
3.6166666,249.98537,0.5777755,250.02608,0.57781434,250.53598,0.57780117
3.6333334,252.31229,0.5783165,252.52428,0.57832444,252.94577,0.57831186
3.65,251.3756,0.5788057,251.44838,0.57882017,251.80597,0.5788024
3.6666667,251.01796,0.57882357,250.98085,0.5788376,250.2869,0.5788383
3.6833334,252.883,0.5791313,252.87497,0.57914144,252.75916,0.57913494
3.7,251.10385,0.57944167,251.07298,0.579441,251.00946,0.5794206
3.7166667,250.25847,0.57934576,250.26492,0.57932574,249.92738,0.5793005
3.7333333,252.86163,0.579524,252.37543,0.5795136,252.63794,0.57952446
3.75,255.10913,0.5796722,254.0717,0.5796849,254.37822,0.5796722
3.7666667,254.80336,0.5791214,253.4562,0.579165,254.7733,0.5791327
3.7833333,256.4037,0.5793276,255.16142,0.5793558,256.46286,0.5793306
3.8,255.62396,0.5793308,254.90517,0.5793576,256.17203,0.57930243
3.8166666,256.93622,0.5782826,256.01685,0.57829887,257.54214,0.5782749
3.8333333,257.8223,0.5780372,257.52054,0.5780557,260.05322,0.57807034
3.85,257.72638,0.57843244,262.6602,0.57854843,267.35922,0.57869524
3.8666666,265.68588,0.57781106,277.57742,0.5781872,291.06238,0.5785839
3.8833334,272.8854,0.57809496,294.453,0.57882404,317.16864,0.5796213
3.9,287.22565,0.57819384,323.6247,0.5794697,367.17404,0.5808649
3.9166667,308.55875,0.5781045,374.2583,0.57992834,445.1776,0.5821445
3.9333334,331.57312,0.5785302,429.48328,0.58171004,536.90826,0.58499354
3.95,361.82263,0.57868487,491.9431,0.58294076,645.4361,0.5874577
3.9666667,391.94977,0.5790306,553.2656,0.58402634,745.9043,0.5893944
3.9833333,408.6483,0.5795785,600.25995,0.58555776,837.5868,0.5920651
4.0,409.38794,0.5790008,602.3078,0.5849464,840.2867,0.59156597
4.016667,411.9268,0.5788071,606.72797,0.584722,842.76874,0.5912681
4.0333333,388.53586,0.5779763,579.14136,0.58348167,786.1012,0.58918405
4.05,362.79694,0.5770703,502.8169,0.58128506,661.7716,0.58568406
4.0666666,345.11343,0.57718706,450.99005,0.58040977,562.55426,0.58367854
4.0833335,316.4677,0.57673323,393.71704,0.57857144,466.8014,0.5807824
4.1,287.6156,0.5764555,335.39636,0.57767004,384.95932,0.5789413
4.116667,281.4475,0.57693183,306.71637,0.57758814,332.48572,0.5783371
4.133333,278.05487,0.57691836,299.00946,0.57726485,314.29965,0.57744145
4.15,276.1132,0.5776664,296.77536,0.57783014,308.64655,0.57799983
4.1666665,244.26581,0.5772606,244.3834,0.57726103,245.8221,0.5772844
4.1833334,243.76277,0.57624924,243.89961,0.5762471,245.23602,0.5762633
4.2,242.6954,0.575504,242.8877,0.5754954,243.90042,0.57552344
4.2166667,241.18437,0.57489794,241.50067,0.5748998,242.57553,0.57490057
4.233333,240.0262,0.5739923,240.55428,0.57398933,241.15555,0.57398856
4.25,236.69572,0.57307464,237.00166,0.5730756,237.76605,0.5730799
4.266667,236.26996,0.5724896,236.6595,0.5725026,237.32056,0.57251656
4.2833333,234.2587,0.5716867,234.74242,0.5716912,235.01682,0.5716915
4.3,234.68216,0.5714819,234.49268,0.57148576,234.44644,0.57145804
4.3166666,233.60095,0.57113767,233.21236,0.5711356,233.87714,0.57112956
4.3333335,230.84471,0.57074964,230.93404,0.57073826,230.93468,0.5707516
4.35,229.9603,0.5702083,229.10754,0.57023937,229.89113,0.5702197
4.366667,229.14746,0.57051647,228.84029,0.57050544,229.40028,0.5704894
4.383333,228.79091,0.5695989,228.85896,0.5695743,229.90285,0.5695559
4.4,229.73854,0.5696389,229.37473,0.5696442,230.99313,0.56965655
4.4166665,226.65012,0.5699916,226.25365,0.5699704,226.84834,0.5699833
4.4333334,226.92587,0.5701672,226.604,0.57014424,227.28691,0.57014436
4.45,224.452,0.5697808,223.95766,0.5697792,224.11212,0.5697833
4.4666667,222.79657,0.5690841,223.13145,0.5690747,223.16496,0.569072
